date,price
2017-07-19 07:04:00,146.26
2017-07-20 03:20:00,145.5
2017-07-21 03:28:00,146.01
2017-07-21 07:40:00,109.15
2017-07-22 03:40:00,108.77
2017-07-22 16:16:00,127.66
2017-07-22 17:52:00,128.02
2017-07-23 00:32:00,145.5
2017-07-23 02:16:00,146.96
2017-07-23 03:56:00,109.92
2017-07-23 10:36:00,136.33
2017-07-23 15:38:00,109.92
2017-07-26 02:48:00,110.31
2017-07-27 02:20:00,110.51
2017-07-28 05:22:00,109.34
2017-07-29 02:20:00,110.31
2017-07-30 03:12:00,110.51
2017-07-31 13:08:00,133.83
2017-07-31 16:36:00,140.47
2017-07-31 21:44:00,110.51
2017-08-01 08:56:00,147.82
2017-08-02 02:52:00,148.09
2017-08-03 03:08:00,148.88
2017-08-03 14:28:00,149.78
2017-08-04 03:26:00,149.25
2017-08-05 02:28:00,149.52
2017-08-05 19:48:00,150.42
2017-08-06 03:58:00,150.69
2017-08-06 13:04:00,149.78
2017-08-09 03:40:00,150.05
2017-08-10 02:22:00,149.52
2017-08-11 05:08:00,150.32
2017-08-12 04:12:00,150.59
2017-08-12 12:44:00,151.5
2017-08-13 02:12:00,150.15
2017-08-14 02:18:00,135.57
2017-08-16 02:32:00,136.16
2017-08-17 02:42:00,136.4
2017-08-18 02:50:00,135.44
2017-08-18 07:46:00,142.93
2017-08-18 09:32:00,148.82
2017-08-19 03:48:00,150.42
2017-08-20 04:20:00,149.09
2017-08-23 03:08:00,148.82
2017-08-25 03:28:00,149.09
2017-08-26 02:48:00,149.35
2017-08-27 03:00:00,148.3
2017-08-30 03:26:00,150.42
2017-08-31 07:50:00,150.06
2017-09-01 02:10:00,148.99
2017-09-02 03:10:00,150.33
2017-09-03 02:30:00,149.79
2017-09-06 02:20:00,150.06
2017-09-07 02:16:00,142.19
2017-09-07 22:20:00,150.33
2017-09-08 00:52:00,142.19
2017-09-08 05:12:00,141.44
2017-09-08 10:56:00,83.57
2017-09-09 02:48:00,140.44
2017-09-09 11:50:00,94.93
2017-09-10 01:58:00,140.44
2017-09-10 03:42:00,140.68
2017-09-10 05:22:00,95.1
2017-09-13 03:14:00,94.93
2017-09-13 06:48:00,140.79
2017-09-14 06:08:00,141.29
2017-09-15 02:52:00,141.54
2017-09-15 14:32:00,163.25
2017-09-15 20:16:00,163.07
2017-09-16 01:14:00,141.54
2017-09-16 03:06:00,140.79
2017-09-20 03:04:00,141.54
2017-09-21 05:56:00,141.8
2017-09-22 03:20:00,141.54
2017-09-23 02:44:00,142.56
2017-09-24 03:44:00,141.29
2017-09-27 02:40:00,142.81
2017-09-28 02:40:00,143.07
2017-09-29 03:26:00,145.15
2017-09-30 03:44:00,144.63
2017-10-01 03:50:00,145.42
2017-10-04 02:52:00,145.15
2017-10-06 03:44:00,145.68
2017-10-07 02:32:00,147.3
2017-10-08 02:36:00,147.57
2017-10-11 02:16:00,148.67
2017-10-12 02:24:00,150.07
2017-10-13 05:24:00,148.95
2017-10-14 04:06:00,150.64
2017-10-18 06:04:00,151.79
2017-10-19 05:10:00,149.79
2017-10-19 16:48:00,166.69
2017-10-20 03:00:00,167.32
2017-10-21 02:28:00,166.69
2017-10-22 03:28:00,168.59
2017-10-25 03:24:00,169.23
2017-10-26 02:40:00,170.53
2017-10-27 03:44:00,168.91
2017-10-28 02:08:00,170.21
2017-10-29 04:00:00,169.56
2017-10-29 14:00:00,143.68
2017-10-30 01:40:00,144.26
2017-10-30 15:14:00,143.49
2017-10-30 23:22:00,145.61
2017-10-31 01:04:00,144.26
2017-11-01 03:44:00,145.09
2017-11-03 02:20:00,143.98
2017-11-04 03:32:00,143.16
2017-11-05 03:40:00,144.81
2017-11-09 00:46:00,143.44
2017-11-09 07:06:00,147.44
2017-11-09 09:06:00,148.98
2017-11-10 07:56:00,148.99
2017-11-10 19:28:00,149.57
2017-11-11 02:24:00,150.06
2017-11-11 09:26:00,149.29
2017-11-11 20:10:00,151.21
2017-11-12 09:48:00,151.5
2017-11-15 02:16:00,151.79
2017-11-15 08:10:00,169.75
2017-11-15 14:56:00,152.37
2017-11-16 02:36:00,152.66
2017-11-17 02:44:00,145.95
2017-11-18 02:36:00,144.29
2017-11-18 09:16:00,142.36
2017-11-19 08:46:00,149.86
2017-11-19 18:36:00,144.09
2017-11-20 03:04:00,143.0
2017-11-20 23:50:00,126.39
2017-11-21 20:08:00,143.0
2017-11-21 23:56:00,132.12
2017-11-22 03:40:00,132.87
2017-11-22 22:52:00,138.25
2017-11-23 04:02:00,131.13
2017-11-24 03:02:00,130.15
2017-11-26 02:56:00,129.67
2017-11-29 03:48:00,129.91
2017-11-30 03:38:00,129.67
2017-12-02 04:08:00,130.15
2017-12-07 04:50:00,82.62
2017-12-08 03:38:00,83.09
2017-12-09 03:12:00,83.56
2017-12-10 03:42:00,83.4
2017-12-11 19:00:00,101.77
2017-12-13 02:44:00,102.35
2017-12-14 02:54:00,103.13
2017-12-15 15:56:00,132.87
2017-12-16 02:54:00,134.99
2017-12-16 14:32:00,139.04
2017-12-17 03:44:00,140.4
2017-12-19 21:52:00,146.0
2017-12-20 03:52:00,145.72
2017-12-21 03:02:00,146.84
2017-12-23 03:24:00,148.55
2017-12-24 03:38:00,150.9
2017-12-26 13:56:00,165.47
2017-12-28 02:36:00,166.46
2017-12-29 02:46:00,164.82
2017-12-30 03:46:00,165.15
2017-12-31 03:56:00,164.5
2018-01-02 23:26:00,165.49
2018-01-03 07:46:00,164.5
2018-01-04 03:46:00,163.53
2018-01-05 03:24:00,161.95
2018-01-06 02:48:00,161.64
2018-01-07 03:28:00,160.71
2018-01-10 03:18:00,161.02
2018-01-12 02:20:00,161.64
2018-01-13 03:22:00,161.33
2018-01-14 02:50:00,159.48
2018-01-17 02:56:00,157.98
2018-01-18 02:48:00,157.09
2018-01-19 02:58:00,156.8
2018-01-20 02:36:00,155.92
2018-01-24 03:52:00,156.5
2018-01-26 03:00:00,154.77
2018-01-27 02:24:00,155.63
2018-01-28 02:28:00,154.77
2018-01-30 10:52:00,148.23
2018-01-31 02:44:00,149.34
2018-01-31 04:24:00,151.22
2018-01-31 12:44:00,149.9
2018-02-01 03:50:00,152.16
2018-02-01 12:12:00,150.27
2018-02-02 03:14:00,148.87
2018-02-02 04:52:00,150.19
2018-02-02 13:40:00,149.06
2018-02-03 03:26:00,147.14
2018-02-03 16:26:00,146.96
2018-02-04 00:32:00,147.14
2018-02-04 02:10:00,149.06
2018-02-04 10:28:00,148.12
2018-02-04 16:20:00,147.56
2018-02-05 00:38:00,148.12
2018-02-05 04:00:00,147.56
2018-02-05 09:00:00,146.81
2018-02-07 03:02:00,148.46
2018-02-07 12:22:00,148.08
2018-02-07 14:02:00,147.89
2018-02-08 02:56:00,146.52
2018-02-08 16:16:00,145.01
2018-02-09 02:36:00,146.37
2018-02-09 07:36:00,144.86
2018-02-10 02:16:00,145.68
2018-02-10 12:16:00,145.49
2018-02-10 23:56:00,145.68
2018-02-11 04:02:00,144.04
2018-02-11 05:42:00,143.85
2018-02-11 14:12:00,143.29
2018-02-12 16:32:00,141.97
2018-02-14 02:20:00,141.44
2018-02-14 12:20:00,140.87
2018-02-15 03:12:00,141.14
2018-02-16 02:56:00,140.35
2018-02-17 02:16:00,140.09
2018-02-17 10:36:00,139.72
2018-02-18 04:56:00,140.09
2018-02-18 11:40:00,139.34
2018-02-19 01:04:00,139.72
2018-02-19 07:48:00,138.03
2018-02-21 06:26:00,137.85
2018-02-22 02:32:00,139.13
2018-02-23 02:48:00,140.18
2018-02-24 02:28:00,138.62
2018-02-24 07:30:00,137.68
2018-02-25 00:24:00,138.62
